color,movie_title,language,country,budget,title_year,aspect_ratio
Color,Back to the Future ,English,USA,19000000,1985,1.18
 Black and White,Hell's Angels ,English,USA,3950000,1930,1.2
Color,Miami Vice             ,English,USA,1500000,,1.33
Color,"Sabrina, the Teenage Witch             ",English,USA,3000000,,1.33
Color,Sex and the City             ,English,USA,,,1.33
Color,Stargate SG-1             ,English,USA,1400000,,1.33
Color,A Touch of Frost             ,English,UK,,,1.33
Color,The Flintstones ,English,USA,45000000,1994,1.33
Color,Arthur             ,English,Canada,,,1.33
Color,3rd Rock from the Sun             ,English,USA,,,1.33
Color,Cats Don't Dance ,English,USA,32000000,1997,1.33
Color,Aladdin ,English,USA,28000000,1992,1.33
 Black and White,The Honeymooners             ,English,USA,,,1.33
Color,Suspect Zero ,English,USA,27000000,2004,1.33
Color,It's Always Sunny in Philadelphia             ,English,USA,,,1.33
Color,Fired Up             ,English,USA,,,1.33
Color,Thir13en Ghosts ,English,USA,20000000,2001,1.33
Color,"Gone, Baby, Gone             ",English,,,,1.33
Color,Larry the Cable Guy: Health Inspector ,English,USA,4000000,2006,1.33
 Black and White,The Artist ,English,France,15000000,2011,1.33
Color,Top Gun ,English,USA,15000000,1986,1.33
Color,The Love Letter ,English,USA,,1998,1.33
 Black and White,Metropolis ,German,Germany,6000000,1927,1.33
Color,Towering Inferno             ,English,Canada,,,1.33
Color,Dekalog             ,Polish,Poland,,,1.33
Color,The Land Before Time ,English,USA,12500000,1988,1.33
Color,Dekalog             ,Polish,Poland,,,1.33
Color,The Blood of Heroes ,English,Australia,10000000,1989,1.33
Color,Buffy the Vampire Slayer             ,English,USA,2300000,,1.33
Color,Dark Angel             ,English,USA,,,1.33
Color,Doug's 1st Movie ,English,USA,5000000,1999,1.33
Color,Apollo 18 ,English,USA,5000000,2011,1.33
Color,Anne of Green Gables             ,English,Canada,,,1.33
Color,High School Musical ,English,USA,4200000,2006,1.33
Color,Sonny with a Chance             ,English,USA,,,1.33
Color,Chain of Command ,English,USA,5000000,2015,1.33
Color,Robot Chicken             ,English,USA,,,1.33
Color,Willy Wonka & the Chocolate Factory ,English,USA,3000000,1971,1.33
Color,Fish Tank ,English,UK,,2009,1.33
Color,The Grand             ,English,UK,,,1.33
 Black and White,Ida ,Polish,Poland,,2013,1.33
Color,Show Boat ,English,USA,2295429,1951,1.33
Color,The Toxic Avenger Part II ,English,USA,2300000,1989,1.33
Color,In the Heat of the Night             ,English,USA,,,1.33
Color,Get Real             ,English,USA,,,1.33
Color,Meek's Cutoff ,English,USA,,2010,1.33
Color,Wings             ,English,USA,,,1.33
Color,The Blue Room ,French,France,,2014,1.33
Color,The Celebration ,Danish,Denmark,1300000,1998,1.33
Color,Space: Above and Beyond             ,English,USA,5000000,,1.33
Color,Sex with Strangers ,English,USA,,2002,1.33
Color,Rocky ,English,USA,960000,1976,1.33
Color,Bambi ,English,USA,,1942,1.33
 Black and White,Pandora's Box ,German,Germany,,1929,1.33
Color,Hoop Dreams ,English,USA,700000,1994,1.33
Color,Rize ,English,USA,,2005,1.33
 Black and White,The Blair Witch Project ,English,USA,60000,1999,1.33
Color,Insomnia Manica ,English,USA,500000,2005,1.33
Color,The Outrageous Sophie Tucker ,English,USA,500000,2014,1.33
Color,Home Movies             ,English,USA,,,1.33
 Black and White,Intolerance: Love's Struggle Throughout the Ages ,,USA,385907,1916,1.33
Color,The Big Swap ,English,UK,,1998,1.33
Color,The Love Letter ,English,USA,,1998,1.33
 Black and White,The Big Parade ,,USA,245000,1925,1.33
Color,Malevolence ,English,USA,200000,2003,1.33
Color,An American Girl Holiday ,English,USA,200000,2004,1.33
Color,A Charlie Brown Christmas ,English,USA,150000,1965,1.33
