color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title
,Doug Walker,,,131,,Rob Walker,131,,Documentary,Doug Walker,Star Wars: Episode VII - The Force Awakens             
Color,Brett Ratner,162,91,420,173,Dana Ivey,268,140080850,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3 
Color,Mike Mitchell,226,93,31,213,Kathy Griffin,4000,238371987,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Shrek Forever After 
Color,Mark Andrews,488,93,56,838,John Ratzenberger,2000,237282182,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Brave 
Color,Peter Sohn,298,93,113,113,Jack McGraw,275,123070338,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,The Good Dinosaur 
Color,Rob Letterman,219,94,11,459,Rainn Wilson,1000,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Monsters vs. Aliens 
Color,Pete Docter,536,95,0,384,Mindy Kaling,1000,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Inside Out 
Color,Tom Shadyac,186,96,293,7000,Morgan Freeman,87000,100289690,Comedy|Family|Fantasy,Jimmy Bennett,Evan Almighty 
Color,Pete Docter,408,96,0,262,Delroy Lindo,1000,292979556,Adventure|Animation|Comedy|Family,John Ratzenberger,Up 
Color,Robert Zemeckis,240,96,0,10000,Colin Firth,18000,137850096,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol 
Color,Robert Stromberg,401,97,171,846,Sharlto Copley,11000,241407328,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent 
Color,Dean DeBlois,288,98,255,759,America Ferrera,18000,217387997,Adventure|Animation|Family|Fantasy,Gerard Butler,How to Train Your Dragon 
Color,Andrew Stanton,421,98,475,522,Fred Willard,1000,223806889,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,WALL·E 
Color,Robert Zemeckis,188,100,0,267,Eddie Deezen,15000,665426,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express 
Color,Nathan Greno,324,100,15,284,Donna Murphy,799,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,Tangled 
Color,Rich Moore,377,101,66,833,Sarah Silverman,975,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph 
Color,Don Hall,384,102,38,562,Daniel Henney,756,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Big Hero 6 
Color,Lee Unkrich,453,103,125,721,John Ratzenberger,15000,414984497,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 3 
Color,Dan Scanlon,376,104,37,760,Tyler Labine,12000,268488329,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Monsters University 
Color,Brett Ratner,334,104,420,560,Kelsey Grammer,20000,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men: The Last Stand 
Color,Jon Favreau,370,106,4000,591,Bill Murray,19000,362645141,Adventure|Drama|Family|Fantasy,Scarlett Johansson,The Jungle Book 
Color,Barry Sonnenfeld,85,106,188,582,Salma Hayek,10000,113745408,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West 
Color,John Lasseter,304,106,487,776,Thomas Kretschmann,1000,191450875,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Cars 2 
Color,Barry Sonnenfeld,451,106,188,718,Michael Stuhlbarg,10000,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Men in Black 3 
Color,Marc Forster,403,106,395,393,Mathieu Amalric,451,168368427,Action|Adventure,Giancarlo Giannini,Quantum of Solace 
Color,Tim Burton,451,108,13000,11000,Alan Rickman,40000,334185206,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland 
Color,Jonathan Mostow,280,109,84,191,M.C. Gainey,648,150350192,Action|Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines 
Color,Roland Joffé,10,109,596,283,Alice Englert,622,,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers 
Color,David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,Action|Adventure|Drama|Romance,Christoph Waltz,The Legend of Tarzan 
Color,Rob Cohen,264,112,357,595,Brendan Fraser,5000,102176165,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,The Mummy: Tomb of the Dragon Emperor 
Color,Doug Liman,585,113,218,509,Lara Pulver,10000,100189501,Action|Adventure|Sci-Fi,Tom Cruise,Edge of Tomorrow 
Color,Chris Weitz,251,113,129,1000,Eva Green,16000,70083519,Adventure|Family|Fantasy,Christopher Lee,The Golden Compass 
Color,Bryan Singer,338,114,0,140,Ewen Bremner,979,65171860,Adventure|Fantasy,Eddie Marsan,Jack the Giant Slayer 
Color,Mike Newell,306,116,179,236,Richard Coyle,15000,90755643,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Prince of Persia: The Sands of Time 
Color,Stephen Sommers,250,118,208,570,Dennis Quaid,23000,150167630,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra 
Color,McG,422,118,368,988,Bryce Dallas Howard,23000,125320003,Action|Adventure|Sci-Fi,Christian Bale,Terminator Salvation 
Color,Hideaki Anno,1,120,28,12,Shin'ya Tsukamoto,544,,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence 
Color,Roland Emmerich,286,120,776,535,Sela Ward,890,102315545,Action|Adventure|Sci-Fi,Vivica A. Fox,Independence Day: Resurgence 
Color,James Gunn,653,121,571,3000,Vin Diesel,14000,333130696,Action|Adventure|Sci-Fi,Bradley Cooper,Guardians of the Galaxy 
Color,Justin Lin,322,122,681,105,Melissa Roxburgh,998,130468626,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Star Trek Beyond 
Color,Steven Spielberg,470,122,14000,1000,Ray Winstone,11000,317011114,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull 
Color,David Ayer,418,123,452,329,Robin Atkin Downes,10000,161087183,Action|Adventure|Comedy|Sci-Fi,Will Smith,Suicide Squad 
Color,Marc Forster,654,123,395,1000,Brad Pitt,17000,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,World War Z 
Color,Martin Campbell,436,123,258,326,Temuera Morrison,16000,116593191,Action|Adventure|Sci-Fi,Ryan Reynolds,Green Lantern 
Color,Jon Favreau,453,124,4000,4000,Scarlett Johansson,21000,312057433,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 
Color,Colin Trevorrow,644,124,365,1000,Judy Greer,3000,652177271,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Jurassic World 
Color,Joseph Kosinski,469,125,364,1000,Olivia Wilde,12000,172051787,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy 
Color,Martin Scorsese,682,126,17000,1000,Christopher Lee,17000,73820094,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Hugo 
Color,Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 
Color,Lana Wachowski,384,127,0,13000,Mila Kunis,17000,47375327,Action|Adventure|Sci-Fi,Channing Tatum,Jupiter Ascending 
Color,Carl Rinsch,218,128,47,982,Cary-Hiroyuki Tagawa,18000,38297305,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin 
Color,Brad Bird,443,130,663,604,Chris Bauer,2000,93417865,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Tomorrowland 
Color,Matt Reeves,521,130,198,884,Judy Greer,10000,208543795,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes 
Color,Sam Raimi,525,130,0,11000,Mila Kunis,44000,234903076,Adventure|Family|Fantasy,Tim Holmes,Oz the Great and Powerful 
Color,Guillermo del Toro,575,131,0,919,Clifton Collins Jr.,16000,101785482,Action|Adventure|Sci-Fi,Charlie Hunnam,Pacific Rim 
Color,Peter Berg,377,131,532,627,Alexander Skarsgård,14000,65173160,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Battleship 
Color,Rupert Sanders,416,132,274,11000,Kristen Stewart,26000,155111815,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman 
Color,J.J. Abrams,590,132,14000,928,Bruce Greenwood,19000,228756232,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness 
Color,Andrew Stanton,462,132,475,530,Samantha Morton,640,73058679,Action|Adventure|Sci-Fi,Daryl Sabara,John Carter 
Color,Sam Raimi,300,135,0,4000,James Franco,24000,373377893,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man 2 
Color,Anthony Russo,576,136,94,2000,Chris Evans,19000,259746958,Action|Adventure|Sci-Fi,Scarlett Johansson,Captain America: The Winter Soldier 
Color,Rob Marshall,448,136,252,1000,Sam Claflin,40000,241063875,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: On Stranger Tides 
Color,James Wan,424,140,0,14000,Paul Walker,26000,350034110,Action|Crime|Thriller,Jason Statham,Furious 7 
Color,Joss Whedon,635,141,0,19000,Robert Downey Jr.,26000,458991599,Action|Adventure|Sci-Fi,Chris Hemsworth,Avengers: Age of Ultron 
Color,Marc Webb,495,142,464,825,Andrew Garfield,15000,202853933,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,The Amazing Spider-Man 2 
Color,Baz Luhrmann,490,143,1000,77,Elizabeth Debicki,29000,144812796,Drama|Romance,Leonardo DiCaprio,The Great Gatsby 
Color,Sam Mendes,750,143,0,393,Helen McCrory,883,304360277,Action|Adventure|Thriller,Albert Finney,Skyfall 
Color,Zack Snyder,733,143,0,748,Christopher Meloni,15000,291021565,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Man of Steel 
Color,Bryan Singer,396,144,0,1000,Michael Fassbender,34000,154985087,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: Apocalypse 
Color,Anthony Russo,516,147,94,11000,Scarlett Johansson,21000,407197282,Action|Adventure|Sci-Fi,Robert Downey Jr.,Captain America: Civil War 
Color,Christopher Nolan,642,148,22000,23000,Tom Hardy,29000,292568851,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Inception 
Color,Sam Mendes,602,148,0,161,Rory Kinnear,11000,200074175,Action|Adventure|Thriller,Christoph Waltz,Spectre 
Color,Bryan Singer,539,149,0,20000,Peter Dinklage,34000,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,X-Men: Days of Future Past 
Color,Andrew Adamson,284,150,80,82,Kiran Shah,1000,291709845,Adventure|Family|Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
Color,Michael Bay,366,150,0,464,Kevin Dunn,894,402076689,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen 
Color,Andrew Adamson,258,150,80,201,Pierfrancesco Favino,22000,141614023,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian 
Color,Gore Verbinski,450,150,563,1000,Ruth Wilson,40000,89289910,Action|Adventure|Western,Johnny Depp,The Lone Ranger 
Color,Gore Verbinski,313,151,563,1000,Orlando Bloom,40000,423032628,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest 
Color,Christopher Nolan,645,152,22000,11000,Heath Ledger,23000,533316061,Action|Crime|Drama|Thriller,Christian Bale,The Dark Knight 
Color,Marc Webb,599,153,464,963,Andrew Garfield,15000,262030663,Action|Adventure|Fantasy,Emma Stone,The Amazing Spider-Man 
Color,David Yates,375,153,282,10000,Daniel Radcliffe,25000,301956980,Adventure|Family|Fantasy|Mystery,Alan Rickman,Harry Potter and the Half-Blood Prince 
Color,Michael Bay,428,154,0,581,Lester Speight,894,352358779,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Dark of the Moon 
Color,Ridley Scott,343,156,0,738,William Hurt,891,105219735,Action|Adventure|Drama|History,Mark Addy,Robin Hood 
Color,Sam Raimi,392,156,0,4000,James Franco,24000,336530303,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 
Color,Roland Emmerich,367,158,776,310,Liam James,1000,166112167,Action|Adventure|Sci-Fi,Oliver Platt,2012 
Color,Peter Jackson,422,164,0,773,Adam Brown,5000,255108370,Adventure|Fantasy,Aidan Turner,The Hobbit: The Battle of the Five Armies 
Color,Christopher Nolan,813,164,22000,23000,Christian Bale,27000,448130642,Action|Thriller,Tom Hardy,The Dark Knight Rises 
Color,Michael Bay,378,165,0,808,Sophia Myles,974,245428137,Action|Adventure|Sci-Fi,Bingbing Li,Transformers: Age of Extinction 
Color,Christopher Nolan,712,169,22000,6000,Anne Hathaway,11000,187991439,Adventure|Drama|Sci-Fi,Matthew McConaughey,Interstellar 
Color,Bryan Singer,434,169,0,903,Marlon Brando,18000,200069408,Action|Adventure|Sci-Fi,Kevin Spacey,Superman Returns 
