BillID,BarName,Date,Time,ItemName,Price,Quantity,TipTotal,
3T-6D4CE44E0B2C644D,33 Taps,8/23,02:04,Left Hand Milk Stout Nitro,8.25,3,29.7,
3T-6D4CE44E0B2C644D,33 Taps,8/23,02:04,Three Floyds Dark Lord,9.75,1,11.7,
3T-6D4CE44E0B2C644D,33 Taps,8/23,02:04,Brooklyn Brewery Lager,14.99,2,35.98,
3T-6D4CE44E0B2C644D,33 Taps,8/23,02:04,Hill Farmstead Everett Porter,27.25,2,65.4,
3T-6D4CE44E0B2C644D,33 Taps,8/23,02:04,Tröegs Nugget Nectar,11.75,2,28.2,
3T-6D4CE44E0B2C644D,33 Taps,8/23,02:04,chutney,10.99,1,13.19,
3T-6D4CE44E0B2C644D,33 Taps,8/23,02:04,broth,28.25,1,33.9,
3T-26066FCDA9A76CBA,33 Taps,11/10,08:32,Founders Red’s Rye,8.99,2,21.58,
3T-26066FCDA9A76CBA,33 Taps,11/10,08:32,Foothills Brewing Sexual Chocolate,24.0,1,28.8,
3T-26066FCDA9A76CBA,33 Taps,11/10,08:32,mint milkshake,17.75,3,63.9,
3T-26066FCDA9A76CBA,33 Taps,11/10,08:32,swiss cheese,19.5,3,70.2,
3T-83FB045544FE53E3,33 Taps,3/7,23:51,Dark Horse Plead the 5th,18.25,1,21.9,
3T-83FB045544FE53E3,33 Taps,3/7,23:51,Terrapin Wake n Bake,19.99,3,71.96,
3T-83FB045544FE53E3,33 Taps,3/7,23:51,Left Hand Milk Stout Nitro,8.25,3,29.7,
3T-83FB045544FE53E3,33 Taps,3/7,23:51,chai,16.25,2,39.0,
3T-83FB045544FE53E3,33 Taps,3/7,23:51,almond extract,8.5,1,10.2,
3T-83FB045544FE53E3,33 Taps,3/7,23:51,hash browns,13.0,3,46.8,
3T-83FB045544FE53E3,33 Taps,3/7,23:51,dates,9.75,1,11.7,
3T-3946ED207F6CC5B6,33 Taps,11/5,04:57,Hill Farmstead Everett Porter,27.25,2,65.4,
3T-3946ED207F6CC5B6,33 Taps,11/5,04:57,tomato juice,10.0,2,24.0,
3T-3946ED207F6CC5B6,33 Taps,11/5,04:57,ancho chile peppers,4.5,1,5.4,
3T-76A8D801E95C6B30,33 Taps,1/16,24:52,Tröegs Nugget Nectar,11.75,1,14.1,
3T-76A8D801E95C6B30,33 Taps,1/16,24:52,Westbrook Gose,17.99,1,21.59,
3T-76A8D801E95C6B30,33 Taps,1/16,24:52,pico de gallo,3.5,1,4.2,
3T-76A8D801E95C6B30,33 Taps,1/16,24:52,Goji berry,10.99,2,26.38,
3T-76A8D801E95C6B30,33 Taps,1/16,24:52,brown sugar,15.25,2,36.6,
3T-C5E37546666B137A,33 Taps,10/25,09:36,Breckenridge Vanilla Porter,28.5,3,102.6,
3T-C5E37546666B137A,33 Taps,10/25,09:36,Sam Adams Boston Lager,26.0,2,62.4,
3T-C5E37546666B137A,33 Taps,10/25,09:36,Deschutes Black Butte Porter,14.25,2,34.2,
3T-C5E37546666B137A,33 Taps,10/25,09:36,kale,19.99,2,47.98,
3T-239AC5DFD3CEA599,33 Taps,11/25,08:21,Terrapin Wake n Bake,19.99,1,23.99,
3T-239AC5DFD3CEA599,33 Taps,11/25,08:21,powdered sugar,7.99,2,19.18,
3T-CF476282C7E86838,33 Taps,10/15,21:36,Founders Red’s Rye,8.99,1,10.79,
3T-CF476282C7E86838,33 Taps,10/15,21:36,limes,8.25,1,9.9,
3T-CF476282C7E86838,33 Taps,10/15,21:36,baguette,18.99,2,45.58,
3T-CF476282C7E86838,33 Taps,10/15,21:36,dr. pepper,10.99,2,26.38,
3T-CF476282C7E86838,33 Taps,10/15,21:36,pesto,17.25,3,62.1,
3T-CF476282C7E86838,33 Taps,10/15,21:36,mayonnaise,19.99,3,71.96,
3T-EEF475E2C3849DB4,33 Taps,8/28,10:11,Left Hand Milk Stout Nitro,8.25,2,19.8,
3T-EEF475E2C3849DB4,33 Taps,8/28,10:11,Hill Farmstead Everett Porter,27.25,2,65.4,
3T-EEF475E2C3849DB4,33 Taps,8/28,10:11,Westbrook Gose,17.99,3,64.76,
3T-EEF475E2C3849DB4,33 Taps,8/28,10:11,Three Floyds Dark Lord,9.75,2,23.4,
3T-EEF475E2C3849DB4,33 Taps,8/28,10:11,arugula,8.25,1,9.9,
3T-EEF475E2C3849DB4,33 Taps,8/28,10:11,berries,0.99,3,3.56,
3T-EEF475E2C3849DB4,33 Taps,8/28,10:11,alfredo sauce,6.99,3,25.16,
3T-EEF475E2C3849DB4,33 Taps,8/28,10:11,sausages,2.75,1,3.3,
3T-EEF475E2C3849DB4,33 Taps,8/28,10:11,ice cream,12.5,1,15.0,
3T-703EC992A31B6E73,33 Taps,7/11,05:15,Breckenridge Vanilla Porter,28.5,2,68.4,
3T-703EC992A31B6E73,33 Taps,7/11,05:15,Sam Adams Boston Lager,26.0,3,93.6,
3T-703EC992A31B6E73,33 Taps,7/11,05:15,Hill Farmstead Everett Porter,27.25,2,65.4,
3T-703EC992A31B6E73,33 Taps,7/11,05:15,Terrapin Wake n Bake,19.99,1,23.99,
3T-703EC992A31B6E73,33 Taps,7/11,05:15,Three Floyds Dark Lord,9.75,1,11.7,
3T-703EC992A31B6E73,33 Taps,7/11,05:15,crabs,0.25,2,0.6,
3T-703EC992A31B6E73,33 Taps,7/11,05:15,crabs,26.75,1,32.1,
3T-703EC992A31B6E73,33 Taps,7/11,05:15,guavas,23.5,3,84.6,
3T-E20DB61A57919418,33 Taps,8/18,05:20,Westbrook Gose,17.99,3,64.76,
3T-E20DB61A57919418,33 Taps,8/18,05:20,cornmeal,11.99,1,14.39,
3T-E20DB61A57919418,33 Taps,8/18,05:20,brussels sprouts,5.0,2,12.0,
3T-5BE2B06473879623,33 Taps,10/10,24:48,Founders Red’s Rye,8.99,3,32.36,
3T-5BE2B06473879623,33 Taps,10/10,24:48,Left Hand Milk Stout Nitro,8.25,3,29.7,
3T-5BE2B06473879623,33 Taps,10/10,24:48,Hill Farmstead Everett Porter,27.25,1,32.7,
3T-5BE2B06473879623,33 Taps,10/10,24:48,soymilk,24.0,2,57.6,
3T-5BE2B06473879623,33 Taps,10/10,24:48,pancetta,21.75,1,26.1,
3T-5BE2B06473879623,33 Taps,10/10,24:48,chile peppers,8.99,2,21.58,
3T-5BE2B06473879623,33 Taps,10/10,24:48,Kahlua,6.99,3,25.16,
3T-D5E8E5C301C8984A,33 Taps,6/7,21:32,Brooklyn Brewery Lager,14.99,2,35.98,
